	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
0	81.52683	91.094635	87.499115	88.37263	90.021164	89.67493	88.190765	86.82632	88.91574	88.184235	88.08139	88.08893	88.22227	88.42027	88.17614	85.29162	86.35843	86.230255	89.20817	88.86248	86.38504	87.54013	87.51534	85.04123	87.526115	91.4759	88.84976	85.1293	87.12785	89.33636	82.630554
1	95.85726	95.575905	96.995964	95.91086	95.85983	96.36347	97.083534	96.51103	96.50026	96.8082	96.58979	96.60366	96.2525	96.58426	96.98681	96.7802	96.54301	96.520096	96.225204	96.31285	96.22372	96.71423	96.47157	96.884	97.01302	96.24988	96.3575	96.46902	96.83972	96.317535	95.95926
2	36.67605	36.20353	36.72573	36.421043	36.139523	36.335266	36.5669	36.388	36.11744	36.280956	36.20104	36.23798	35.991276	36.233727	36.29316	36.37728	36.127113	36.167683	36.19836	36.004517	36.125393	36.240284	36.13055	36.449688	36.502045	36.30983	36.53758	36.545635	36.649044	36.416954	36.891926
3	120.83744	123.406136	122.4981	122.36286	121.41412	121.322716	121.297424	120.638695	118.49301	119.43375	118.28776	119.3497	118.67681	117.13752	114.100845	119.14506	113.753365	115.89025	116.63506	118.59427	119.25504	119.69088	117.50494	122.16339	120.14752	121.54527	121.8872	119.1455	122.45557	122.99367	119.79881
4	81.8147	86.0091	78.16124	83.391975	86.37447	85.53119	82.57428	84.60988	85.13435	82.46822	85.70462	85.40223	84.94486	83.01709	82.297226	86.59106	85.30247	85.02964	84.424065	85.771965	83.57283	81.96952	82.69207	83.30698	83.02947	86.8901	83.84497	84.98894	81.58424	82.9469	79.20622
5	60.594036	66.78734	59.31569	64.45596	65.74331	65.77325	63.506863	64.675446	65.28936	64.64299	64.187874	64.977196	65.57645	63.962208	58.215588	67.04599	60.99583	65.402626	63.561317	64.52161	65.721275	63.8924	64.31416	65.525345	61.81495	65.771286	64.39433	64.73447	60.372658	64.71699	60.546185
6	18.12235	19.83098	19.422571	19.204502	20.076748	19.774021	19.493017	19.172436	20.180637	19.613874	19.959354	20.288374	20.014885	20.405136	20.54621	20.627092	19.772648	20.188293	20.801132	20.058165	19.69073	19.833075	19.852745	19.709135	20.219845	20.625525	20.156265	19.76679	19.75163	20.46734	18.37675
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.38191968	3.3966699	1.2523504	0.64358926	2.133978	1.8172271	2.1831434	1.8814292	2.362618	2.1735992	2.560468	2.1793146	2.0259545	1.953419	0.35307926	-0.3148	1.9313447	1.6857703	1.5962112	2.5532227	2.7478492	2.1594799	1.6859411	1.9591007	2.1455684	2.4069223	1.2693925	1.2084436	0.8831513	2.7754455	-0.9902199
9	24.13734	24.840504	24.495516	25.09502	25.20752	25.286718	25.164118	25.410975	25.401596	25.4225	25.831594	25.46737	25.939915	25.957146	26.331194	25.74349	26.551323	26.669445	25.756107	25.942034	25.566238	25.800686	25.285542	25.71628	25.441452	25.31827	25.445724	25.189077	25.382269	24.877266	24.95648
